chat session,# of user utterances,# of cpu utterances,Elasped time (sec)
04-12-2022 01-25-55,5,9,19.772609
04-12-2022 01-53-24,7,10,26.464635
04-12-2022 02-08-31,3,7,51.282255
04-12-2022 02-09-29,3,6,176.292211
04-12-2022 02-12-40,3,7,446.389311
04-12-2022 02-31-40,3,6,19.846158
04-12-2022 02-32-06,2,4,70.117963
04-12-2022 03-27-00,1,3,16.632431
04-12-2022 03-41-15,3,8,101.299677
04-12-2022 03-43-05,2,7,35.452533
04-12-2022 03-52-35,12,15,383.105915
04-12-2022 04-11-12,12,15,186.912053
04-12-2022 04-41-45,10,14,122.529212
04-12-2022 04-50-30,13,16,140.075258
04-12-2022 04-56-42,13,16,112.832887
04-12-2022 05-49-14,5,9,30.308435
04-12-2022 05-51-13,7,12,157.815711
